SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
NFL,EQ,98.3,101.5,97.7,100.7,100.6,98.08,3121032,313803636.79,03-Sep-2025,23306,INE870D01012
NATCAPSUQ,EQ,213,215.87,203.5,207.09,205,206.6,7812,1646487.52,03-Sep-2025,810,INE936B01015
NAVA,EQ,707,721,700.2,704.25,703,704,761495,541449261.00,03-Sep-2025,27482,INE725A01030
NAVINFLUOR,EQ,4735,4898,4735,4842.9,4860,4755.3,147645,715243906.90,03-Sep-2025,21884,INE048G01026
NAVKARCORP,EQ,118.8,119.75,117.85,118.19,118.4,118.8,402691,47774042.74,03-Sep-2025,4202,INE278M01019
NAVKARURB,BE,2.59,2.59,2.46,2.51,2.51,2.59,384962,970446.17,03-Sep-2025,276,INE268H01044
NAVNETEDUL,EQ,155.99,158,153.89,155.18,155.01,153.96,697698,108830314.53,03-Sep-2025,14336,INE060A01024
NAZARA,EQ,1162,1165,1121,1136,1122,1159,1042933,1191390120.70,03-Sep-2025,25149,INE418L01021
NBCC,EQ,101.6,103.46,101.4,103.29,103.3,101.58,5290122,544081311.97,03-Sep-2025,31753,INE095N01031
NCC,EQ,212,213.8,210.71,212.87,212.9,211.13,1966337,417314901.82,03-Sep-2025,23616,INE868B01028
NCLIND,EQ,213,218.5,213,217.51,217.7,215.26,26633,5768493.79,03-Sep-2025,875,INE732C01016
NDLVENTURE,BE,88.68,90.41,86,88.96,88.99,88.68,1352,118772.26,03-Sep-2025,44,INE353A01023
NDRAUTO,EQ,1065,1090,1041.2,1053,1057,1055.7,48451,51615833.20,03-Sep-2025,6767,INE07OG01012
NDTV,BE,140.15,142.2,137.25,139.75,139.95,139.7,19198,2699161.06,03-Sep-2025,264,INE155G01029
NECLIFE,BE,14.58,14.84,14.2,14.5,14.63,14.53,279237,4044854.58,03-Sep-2025,737,INE023H01027
NEELAM,SM,20.9,20.9,20.65,20.65,20.65,21.7,48000,996300.00,03-Sep-2025,8,INE0N1401016
NELCAST,EQ,152.45,153,149.7,152.04,152.39,149.85,50571,7653549.40,03-Sep-2025,1866,INE189I01024
NELCO,EQ,829,833.5,818.05,827.35,832.25,822.15,52709,43561328.05,03-Sep-2025,3546,INE045B01015
NEOGEN,EQ,1458.3,1490,1446.3,1479,1475,1458.3,35538,52528959.30,03-Sep-2025,4415,INE136S01016
NEPHROCARE,ST,173.2,173.2,168,169,169,165.8,8400,1424180.00,03-Sep-2025,18,INE0SUN01013
NEPTUNE,SM,141.25,141.25,141.25,141.25,141.25,139.7,1000,141250.00,03-Sep-2025,1,INE156901014
