SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
526443,"Artificial Electronics Intelli",X,STK,97.88,100.67,93.05,100.67,100.67,95.88,615,66950,6614627,
526445,"INDRAYANI BIOTECH LTD.",X,STK,11.99,12.5,11.06,12.2,12,11.66,153,74246,891737,
526468,"EURO LEDER FASHION LTD.",X,STK,21,21,20.4,21,21,20.6,16,1328,27705,
526471,"WINSOME BREWERIES LTD.",X,STK,28.74,28.74,27.35,28,28,27.62,126,8209,231076,
526473,"ELEGANT FLORICULTURE & AGROTEC",XT,STK,7.03,7.03,7.03,7.03,7.03,6.7,151,168646,1185581,
526477,"SOUTH ASIAN ENTERPRISES LTD.",XT,STK,37.02,37.02,37.02,37.02,37.02,35.26,8,521,19287,
526479,"SKY INDUSTRIES LTD.",X,STK,92.5,92.5,88,89.86,89.5,91.65,162,16677,1496398,
526481,"PHOENIX INTERNATIONAL LTD.",X,STK,39.25,41.99,39.25,41,41,39.25,37,5372,219997,
526488,"BHUDEVI INFRA PROJECTS LIMITED",XT,STK,275.4,275.4,275.4,275.4,275.4,281,1,100,27540,
526490,"PRATIK PANELS LTD.",X,STK,7.06,7.14,6.84,7.02,7.02,7.03,83,64319,451765,
526492,"Rishiroop Limited",X,STK,139,139,126.55,128.9,128.9,129.75,80,2724,349139,
526494,"PROMACT IMPEX LIMITED",X,STK,9.58,9.58,9.34,9.58,9.58,9.13,6,1624,15555,
526500,"STERLING GREEN WOODS LTD.",X,STK,37.73,37.8,31.9,36.24,31.91,38.12,17,1430,52399,
526506,"SYSTEMATIX CORPORATE SERVICES",B,STK,123.05,124.6,121.55,122.85,124.25,123.05,172,5278,648592,
526508,"Shahi Shipping Limited",X,STK,15.95,15.95,15,15.18,15.2,15.55,87,12147,185614,
526519,"ALPINE HOUSING DEVELOPMENT COR",X,STK,133.9,133.9,128.1,132.85,132.85,130.1,16,106,13893,
526521,"SANGHI INDUSTRIES LTD.",B,STK,65.27,65.27,64.1,64.86,64.85,63.7,34,4048,261196,
526525,"WORLDWIDE ALUMINIUM LIMITED",X,STK,17.4,17.4,17.4,17.4,17.4,16.58,4,266,4628,
526530,"IIRM HOLDINGS INDIA LIMITED",X,STK,83.79,84.25,81.18,82.16,81.2,84.21,42,5892,484860,
526532,"SQUARE FOUR PROJECTS INDIA LIM",X,STK,9.57,9.57,9.49,9.49,9.49,9.58,3,21,200,
526544,"SGL RESOURCES LIMITED",XT,STK,4.44,4.44,4.04,4.08,4.08,4.25,310,355596,1449276,
526546,"CHOKSI LABORATORIES LTD.",XT,STK,207.35,209.95,196,207.75,209.95,203.25,31,2513,511618,
526550,"COUNTRY CLUB HOSPITALITY AND H",B,STK,17.6,18.19,17.46,18.07,18,17.7,106,7270,129916,
526554,"SALGUTI INDUSTRIES LTD.",XT,STK,25.7,25.7,23.28,23.34,24.99,24.5,10,770,18786,
526570,"MIDWEST GOLD LTD.",XT,STK,2026.45,2026.45,2026.45,2026.45,2026.45,2067.8,69,1968,3988053,
526574,"ENTERPRISE INTERNATIONAL LTD.",X,STK,27.49,27.49,26.95,26.95,26.95,26.95,2,3,81,
526582,"TPL PLASTECH LTD.",B,STK,78.08,78.08,76.3,77.46,77.2,76.55,157,5293,410895,
526586,"WIM PLAST LTD.",X,STK,477,505,477,497.95,497.95,476.5,427,15338,7585830,
526588,"PHOTOQUIP INDIA LTD.",X,STK,16.05,16.99,16.05,16.98,16.98,16.99,13,870,14505,
526596,"LIBERTY SHOES LTD.",T,STK,322.8,340,322.8,337.8,337.8,328.7,96,2730,914292,
526604,"LIPPI SYSTEMS LTD.",X,STK,25.25,25.25,23.51,23.75,23.75,25,7,470,11284,
526608,"ELECTROTHERM (INDIA) LTD.",B,STK,815.65,832.25,806.5,816.35,813,812,61,609,497823,
526612,"BLUE DART EXPRESS LTD.",A,STK,5775,5793,5735,5757.3,5760.8,5755.2,197,491,2830844,
526614,"EXPO ENGINEERING AND PROJECTS",X,STK,104,105,95.1,97.97,97.97,97.83,343,21611,2196215,
526616,"NATIONAL PLASTIC INDUSTRIES LT",X,STK,60.35,61,60.35,60.95,60.95,60.06,11,1270,77446,
526622,"MFL INDIA LTD.",X,STK,0.53,0.54,0.53,0.54,0.53,0.53,319,321164,172686,
526638,"TEXEL INDUSTRIES LTD.",X,STK,123.95,123.95,114.5,114.75,115.45,120.5,288,18993,2222474,
526640,"ROYALE MANOR HOTELS & INDUSTRI",X,STK,44.7,48.75,44.7,45.7,45.7,46,36,2122,96575,
526642,"MIRZA INTERNATIONAL LTD.",B,STK,33.21,34.75,33.12,33.95,33.55,33.11,590,33600,1132756,
526650,"TOURISM FINANCE CORPORATION OF",B,STK,335.3,341.1,334.5,336.15,336.15,335.3,2121,71206,24033719,
526662,"RAJDARSHAN INDUSTRIES LTD.",T,STK,51.86,51.86,50.82,50.82,50.82,49.4,22,1437,74500,
526666,"BHARTIYA INTERNATIONAL LTD.",B,STK,853.75,865.45,847.75,861.35,861.35,827.2,15,62,53069,
526668,"KAMAT HOTELS (INDIA) LTD.",B,STK,303.95,318.2,302.55,312.6,312.6,301.65,1582,34417,10742419,
526677,"DSJ KEEP LEARNING LIMITED",T,STK,2.79,2.95,2.79,2.89,2.89,2.82,24,7113,20687,
526703,"ECOPLAST LTD.",X,STK,516.3,537.8,516,528.55,536.5,533.9,53,1411,738019,
526705,"ELEGANT MARBLES & GRANI INDUST",X,STK,230,230,225,230,230,230,11,257,58685,
526709,"BITS LTD.",X,STK,9.26,9.43,9.15,9.21,9.2,9.26,488,75036,692965,
526711,"ADARSH PLANT PROTECT LTD.",X,STK,23.85,25.57,23.85,24.56,24.56,23.57,34,1022,25103,
526717,"HCP PLASTENE BULKPACK LIMITED",XT,STK,162.25,166.1,162.25,163.4,163.4,170,20,1051,173460,
526721,"NICCO PARKS & RESORTS LTD.",X,STK,102.35,106,102.35,102.65,102.45,103.3,68,1853,191492,
526723,"NTC INDUSTRIES LTD.",X,STK,206.6,206.6,196,197.7,198,199.65,157,5961,1177114,
526725,"SANDESH LTD.",B,STK,1263.6,1263.6,1233.6,1242.1,1233.6,1256.5,36,83,103917,
526727,"GARNET CONSTRUCTION LTD.",XT,STK,45.98,46.13,44.5,45.95,46.13,43.94,69,13401,611898,
526729,"GOLDIAM INTERNATIONAL LTD.",A,STK,379.3,405,379,402.45,402.45,377.6,5703,240613,94967455,
526731,"BRIGHT BROTHERS LTD.",X,STK,354.8,354.8,342.75,344.45,348.7,348.75,74,2102,729954,
